,female,black,hispanic,bytest,dadcoll,momcoll,ownhome,urban,cue80,stwmfg80,dist,tuition,yrsed,incomehi,log_earnings
30,1,0,0,68.58000183,1,1,1,1,5.099999905,8.850000381,0.5,0.84987998,16,1,10.58052554
31,1,0,0,42.61000061,0,0,1,1,5.099999905,8.850000381,0.5,0.84987998,12,0,10.62969968
32,0,0,0,58.65999985,1,0,1,1,5.099999905,8.850000381,0.5,0.84987998,16,1,10.5108622
33,0,0,0,58.13999939,0,0,1,1,5.099999905,8.850000381,0.5,0.84987998,14,0,10.72492605
34,1,0,0,58.95000076,0,0,1,1,5.099999905,8.850000381,0.5,0.84987998,16,0,10.5968998
35,0,0,0,49.36999893,0,0,1,1,5.400000095,8.850000381,0.200000003,0.84987998,17,0,11.29805793
36,1,0,0,47.25,0,1,0,1,5.400000095,8.850000381,0.200000003,0.84987998,16,0,10.45335383
37,0,0,0,61.02999878,1,0,0,0,6.199999809,8.090000153,0.600000024,0.889150023,14,1,9.514173578
42,1,0,0,48.56999969,0,0,1,0,6.199999809,8.090000153,0.600000024,0.889150023,12,0,10.01702181
43,1,0,0,51.11000061,0,0,1,0,6.199999809,8.090000153,0.600000024,0.889150023,12,0,9.322938979
45,1,0,0,54.97999954,1,0,1,0,7.199999809,7.039999962,0.100000001,0.902999997,16,1,12.62241244
47,1,0,0,55.31999969,0,0,1,0,7.199999809,7.039999962,0.100000001,0.902999997,13,0,10.76913275
48,0,0,1,42.22999954,0,0,1,0,7.199999809,7.039999962,0.100000001,0.902999997,12,0,10.07215777
49,1,0,0,62,0,0,1,0,7.199999809,7.039999962,0.100000001,0.902999997,16,0,10.39183268
50,0,0,1,49.65000153,0,0,0,0,7.199999809,7.039999962,0.100000001,0.902999997,15,0,10.47628749
51,1,0,0,44.95999908,0,0,1,0,7.199999809,7.039999962,0.100000001,0.902999997,12,0,9.543050496
52,1,0,0,37.31000137,0,0,1,0,7.199999809,7.039999962,0.100000001,0.902999997,12,0,9.803873614
53,0,0,0,39.86999893,0,0,1,0,7.199999809,7.039999962,0.100000001,0.902999997,12,0,10.16290643
54,1,0,0,56.43999863,0,0,1,0,5.400000095,8.850000381,0.100000001,0.84987998,16,0,10.37438243
55,0,1,0,42.65000153,0,0,1,0,5.400000095,8.850000381,0.100000001,0.84987998,12,0,10.34523762
56,1,0,0,60.04999924,1,1,1,0,5.400000095,8.850000381,0.100000001,0.84987998,15,1,9.998829302
57,1,0,0,38.31999969,0,0,0,0,5.400000095,8.850000381,0.100000001,0.84987998,12,0,10.58218391
58,1,0,0,65.87000275,1,0,1,0,5.400000095,8.850000381,0.100000001,0.84987998,15,1,10.48359261
59,0,0,0,44.65000153,0,0,1,0,5.400000095,8.850000381,0.100000001,0.84987998,13,0,9.315451937
60,0,0,0,57.74000168,0,0,1,0,5.5,8.090000153,1.5,0.889150023,16,1,11.42488852
61,0,0,0,60.38000107,1,0,1,0,5.5,8.090000153,1.5,0.889150023,12,1,9.164608829
62,0,0,0,62.77000046,0,0,0,0,5.5,8.090000153,1.5,0.889150023,12,1,8.985660967
63,0,0,0,59.72999954,0,0,1,0,5.5,8.090000153,1.5,0.889150023,16,0,11.7322011
64,1,0,0,57.06000137,1,0,1,0,5.5,8.090000153,1.5,0.889150023,16,1,10.90553967
65,1,0,0,58.02000046,0,0,1,0,5.5,8.090000153,1.5,0.889150023,15,0,10.54535433
66,1,0,0,54.74000168,0,0,1,0,5.5,8.090000153,1.5,0.889150023,12,0,10.255299
67,1,0,0,46.27999878,0,0,1,0,6.900000095,7.039999962,2,0.902999997,14,0,10.19848786
68,1,0,0,60.40000153,0,0,1,0,6.900000095,7.039999962,2,0.902999997,12,0,9.444476626
69,0,0,0,53.20999908,0,0,1,0,6.900000095,7.039999962,2,0.902999997,18,1,11.27273354
70,1,0,0,60.93000031,0,0,1,0,6.5,8.090000153,1.5,0.889150023,14,0,10.13507195
71,1,0,0,48.43999863,0,0,1,0,6.5,8.090000153,1.5,0.889150023,15,0,10.77221111
72,1,0,0,45.31000137,0,0,1,0,7.699999809,7.039999962,2,0.902999997,12,0,9.691321105
73,0,0,0,60.22000122,1,0,1,0,7.699999809,7.039999962,2,0.902999997,12,1,10.12587445
74,0,0,0,56.41999817,0,0,1,0,7.699999809,7.039999962,2,0.902999997,16,0,12.1594879
75,1,0,0,62.27000046,0,1,1,0,7.699999809,7.039999962,2,0.902999997,17,1,11.38028291
76,0,0,0,51.84000015,1,1,0,0,4.400000095,8.090000153,0.5,0.889150023,18,1,10.87026813
77,1,0,0,57.54999924,0,0,1,0,4.400000095,8.090000153,0.5,0.889150023,16,1,10.38046995
78,1,0,0,57.61999893,1,0,1,0,4.400000095,8.090000153,0.5,0.889150023,12,1,9.553554217
79,0,0,0,57.5,0,1,1,0,4.400000095,8.090000153,0.5,0.889150023,12,1,9.775959851
80,0,0,0,65.30999756,1,0,1,0,7.5,8.090000153,0.5,0.889150023,16,0,10.81251883
81,0,0,0,50.61999893,1,0,1,0,7.5,8.090000153,0.5,0.889150023,14,1,11.21092266
82,0,0,0,51.22999954,0,0,1,0,7.5,8.090000153,0.5,0.889150023,15,0,10.99922515
83,1,0,0,53.54999924,0,0,0,0,7.5,8.090000153,0.5,0.889150023,14,0,10.44814797
84,1,0,0,48.52000046,0,0,1,0,7.5,8.090000153,0.5,0.889150023,12,0,9.391434502
85,1,0,0,43.40999985,0,0,1,0,7.5,8.090000153,0.5,0.889150023,14,0,10.95113969
86,1,0,0,57.5,0,0,1,0,7.5,8.090000153,0.5,0.889150023,14,0,10.17807323
87,1,0,0,51.31999969,0,0,1,0,5.900000095,7.090000153,1.200000048,1.385680079,15,0,11.74210391
88,1,0,0,36.36999893,0,0,0,0,5.900000095,7.090000153,1.200000048,1.385680079,12,0,9.342864515
89,1,0,0,43.79999924,0,0,1,0,5.900000095,7.090000153,1.200000048,1.385680079,12,0,9.836078159
90,1,0,0,45.13999939,0,0,1,0,5.900000095,7.090000153,1.200000048,1.385680079,12,1,9.519962364
91,1,0,0,63.25999832,0,0,1,0,5.900000095,7.090000153,1.200000048,1.385680079,16,0,10.57138497
92,1,0,0,51.31999969,1,1,1,0,5.900000095,7.090000153,1.200000048,1.385680079,17,0,12.59519172
93,0,0,0,44.22999954,0,0,1,0,5.900000095,7.090000153,1.200000048,1.385680079,12,0,9.756549161
94,1,0,0,42.93000031,0,0,1,0,5.300000191,8.090000153,0.100000001,0.889150023,12,1,9.286240586
95,1,0,0,47.59999847,0,0,1,0,5.300000191,8.090000153,0.100000001,0.889150023,12,0,10.02023249
96,0,0,0,56.47000122,1,0,1,0,5.300000191,8.090000153,0.100000001,0.889150023,13,1,11.36263605
97,0,0,0,64.69000244,0,0,1,0,5.300000191,8.090000153,0.100000001,0.889150023,16,0,10.19925951
98,1,0,0,62.34999847,1,1,1,0,5.300000191,8.090000153,0.100000001,0.889150023,16,0,11.05698831
99,1,0,0,48.95999908,0,0,1,0,6.099999905,7.690000057,2.5,1.112010002,12,0,9.095792851
100,1,0,0,40.27999878,0,0,1,0,6.099999905,7.690000057,2.5,1.112010002,12,1,9.806506101
101,0,0,0,44.65999985,0,0,1,0,6.099999905,7.690000057,2.5,1.112010002,12,0,10.17671252
102,0,0,0,65.45999908,0,0,0,0,6.099999905,7.690000057,2.5,1.112010002,12,0,10.21219368
103,1,0,0,37.81000137,0,0,1,0,6.099999905,7.690000057,2.5,1.112010002,12,0,10.82094997
104,0,0,0,66.94999695,1,1,1,0,6.099999905,7.690000057,2.5,1.112010002,16,1,10.78837126
105,1,0,0,55.63999939,0,0,1,0,6.099999905,7.690000057,2.5,1.112010002,16,1,11.43976412
106,1,0,0,51.27999878,0,1,1,0,6.5,8.090000153,3.5,0.889150023,16,0,11.19670605
107,1,0,0,52.77999878,0,0,1,0,6.5,8.090000153,3.5,0.889150023,14,0,9.972805303
108,1,0,0,64.59999847,0,0,1,0,6.5,8.090000153,3.5,0.889150023,16,0,10.78764041
109,1,0,0,61.72999954,1,0,1,0,6.5,8.090000153,3.5,0.889150023,16,0,11.25960111
110,0,1,0,50.81000137,0,1,1,0,5.400000095,8.090000153,1.899999976,0.889150023,16,0,11.04364362
111,0,0,0,44.45999908,1,1,1,0,5.400000095,8.090000153,1.899999976,0.889150023,12,1,9.649839337
112,1,0,0,41.58000183,0,0,1,0,13.5,7.690000057,5,1.112010002,12,0,10.03080128
113,1,0,0,40.70000076,0,0,0,0,13.5,7.690000057,5,1.112010002,12,0,9.830149081
114,1,0,0,39.63000107,0,0,1,0,13.5,7.690000057,5,1.112010002,12,0,10.29708503
115,1,0,0,54.16999817,0,0,1,0,13.5,7.690000057,5,1.112010002,12,0,9.719585817
116,0,0,1,38.95000076,0,0,1,0,13.5,7.690000057,5,1.112010002,13,1,10.13914501
117,1,0,0,62.84000015,0,0,1,0,13.5,7.690000057,5,1.112010002,15,0,10.1946849
118,0,0,0,64.48000336,0,0,0,0,8.699999809,8.850000381,1.5,0.84987998,16,0,11.53122199
119,1,0,0,47.09000015,0,0,1,0,8.699999809,8.850000381,1.5,0.84987998,12,1,9.189296811
120,1,0,0,50.95000076,0,0,1,0,8.699999809,8.850000381,1.5,0.84987998,12,0,10.16320934
121,0,0,0,44.45999908,0,0,1,0,8.699999809,8.850000381,1.5,0.84987998,12,1,8.916988
122,1,0,0,58.88999939,0,1,0,0,8.699999809,8.850000381,1.5,0.84987998,12,1,11.03339011
123,1,1,0,54.36000061,0,0,1,0,8.699999809,8.850000381,1.5,0.84987998,16,0,10.31204344
124,1,0,0,45.29000092,0,0,1,0,8.699999809,8.850000381,1.5,0.84987998,13,0,10.15683677
125,1,0,0,54.16999817,0,0,1,0,6.5,8.090000153,0.800000012,0.889150023,15,0,11.28418449
126,0,0,0,52.74000168,1,0,1,0,6.5,8.090000153,0.800000012,0.889150023,12,1,9.29873364
127,0,0,0,60.93999863,0,0,1,0,6.5,8.090000153,0.800000012,0.889150023,12,0,10.33330832
128,0,0,0,40.18000031,0,0,1,0,6.5,8.090000153,0.800000012,0.889150023,12,1,10.65542622
129,1,0,0,58.09000015,0,1,1,0,6.5,8.090000153,0.800000012,0.889150023,12,0,9.44042889
130,0,0,0,54.25999832,0,0,1,0,6.5,8.090000153,0.800000012,0.889150023,14,0,9.751037081
131,1,0,0,57.13000107,1,0,1,0,7.800000191,7.690000057,1.799999952,1.112010002,16,1,11.59479177
132,1,0,0,64.98000336,0,0,1,0,7.800000191,7.690000057,1.799999952,1.112010002,12,0,9.340791674
133,0,0,0,65.34999847,0,0,0,0,7.800000191,7.690000057,1.799999952,1.112010002,14,0,11.98259193
134,1,0,0,55.95999908,0,0,1,0,7.800000191,7.690000057,1.799999952,1.112010002,12,0,9.647780389
135,1,0,0,61.72999954,0,0,1,0,7.800000191,7.690000057,1.799999952,1.112010002,16,1,11.19446286
136,0,0,0,56.34999847,0,0,1,0,7.800000191,7.690000057,1.799999952,1.112010002,12,0,9.711989101
137,0,0,0,51.09999847,0,0,1,0,7.800000191,7.690000057,1.799999952,1.112010002,13,1,9.495485501
138,1,0,0,39.52000046,0,0,1,0,7.800000191,7.690000057,1.799999952,1.112010002,12,0,9.917652518
139,1,0,0,60.75,1,1,1,0,7.800000191,7.690000057,1.799999952,1.112010002,16,0,10.64922385
140,0,0,0,38.18999863,0,0,1,0,7.800000191,7.690000057,1.799999952,1.112010002,12,0,10.19136447
141,1,0,0,51.02000046,0,0,1,0,7.800000191,7.690000057,1.799999952,1.112010002,16,0,11.71395105
142,0,0,0,53.65000153,0,0,1,0,7.800000191,7.690000057,1.799999952,1.112010002,16,0,10.97244669
143,0,0,0,56.34999847,0,0,1,0,5.400000095,8.850000381,0.800000012,0.84987998,15,1,10.16903625
144,1,0,0,52.95000076,0,0,1,0,5.400000095,8.850000381,0.800000012,0.84987998,15,1,10.45854339
145,0,0,0,63.40999985,0,0,1,0,5.400000095,8.850000381,0.800000012,0.84987998,13,0,10.48273339
146,0,0,0,66.16999817,1,1,1,0,5.400000095,8.850000381,0.800000012,0.84987998,16,1,10.87623388
147,0,0,0,45.09999847,0,0,1,0,5.400000095,8.850000381,0.800000012,0.84987998,13,1,9.760868352
148,0,0,0,66.94999695,1,0,1,0,5.400000095,8.850000381,0.800000012,0.84987998,16,0,11.87050358
149,1,0,0,62.90000153,1,0,1,0,5.400000095,8.850000381,0.800000012,0.84987998,18,1,11.97906917
150,0,0,0,52.97999954,1,1,1,0,7.199999809,8.850000381,0.800000012,0.84987998,13,1,9.75210551
151,1,0,0,62.29000092,0,1,1,0,7.199999809,8.850000381,0.800000012,0.84987998,13,0,10.13281435
152,0,0,0,44.31000137,0,1,1,0,7.199999809,8.850000381,0.800000012,0.84987998,12,0,10.34485786
153,1,0,0,64.11000061,1,0,1,0,4.400000095,8.090000153,1.5,0.889150023,16,0,10.49119422
154,0,0,0,58.61999893,0,0,1,0,4.400000095,8.090000153,1.5,0.889150023,13,1,10.48450522
155,1,0,0,56.91999817,0,0,1,0,4.400000095,8.090000153,1.5,0.889150023,12,0,9.941022327
156,1,0,0,52.66999817,0,0,1,0,4.400000095,8.090000153,1.5,0.889150023,12,0,10.12121422
157,0,0,0,64.83000183,1,1,1,0,4.400000095,8.090000153,1.5,0.889150023,15,1,11.55551164
158,0,0,0,49.90000153,0,0,1,0,4.400000095,8.090000153,1.5,0.889150023,12,0,9.283338038
159,1,0,0,62.54999924,0,0,1,0,4.400000095,8.090000153,1.5,0.889150023,17,1,10.46796291
160,0,0,0,66.48999786,0,0,1,0,4.400000095,8.090000153,1.5,0.889150023,17,1,11.34380368
161,0,0,0,62.13999939,1,1,1,0,4.400000095,8.090000153,1.5,0.889150023,17,1,11.56606214
162,0,0,0,49.20000076,0,0,1,1,6.5,8.090000153,0.200000003,0.889150023,13,0,9.492876549
163,1,0,0,51.47000122,0,0,1,1,6.5,8.090000153,0.200000003,0.889150023,14,0,10.21675388
164,1,0,0,62.15000153,0,0,1,1,6.5,8.090000153,0.200000003,0.889150023,14,0,10.60643339
165,1,1,0,43.25999832,0,0,0,1,6.5,8.090000153,0.200000003,0.889150023,12,0,10.48265138
166,1,0,0,54.54000092,0,1,0,1,6.5,8.090000153,0.200000003,0.889150023,12,0,10.10519141
167,0,0,0,58.72000122,0,0,1,1,6.5,8.090000153,0.200000003,0.889150023,18,0,12.59266758
168,1,0,0,57.88000107,1,1,1,0,5.099999905,8.850000381,0.100000001,0.84987998,13,1,10.41576203
169,1,0,0,68.5,1,0,0,0,5.099999905,8.850000381,0.100000001,0.84987998,15,0,10.26624397
170,0,0,0,52.63999939,0,1,1,0,5.099999905,8.850000381,0.100000001,0.84987998,15,1,11.43501823
171,1,0,0,37.54000092,0,1,0,1,8.199999809,7.690000057,3.200000048,1.112010002,12,0,9.556701391
172,0,0,0,63.59000015,0,0,0,1,8.199999809,7.690000057,3.200000048,1.112010002,16,0,10.68614576
173,1,0,0,49.90000153,0,0,1,1,8.199999809,7.690000057,3.200000048,1.112010002,12,0,9.773016461
174,0,0,0,67.18000031,1,1,1,1,8.199999809,7.690000057,3.200000048,1.112010002,15,0,10.41237232
175,1,0,0,61.02000046,0,0,1,1,8.199999809,7.690000057,3.200000048,1.112010002,12,0,9.554431996
176,1,0,0,55.88999939,0,0,1,0,7.199999809,8.850000381,0.600000024,0.84987998,16,1,11.86089294
177,0,0,0,59.24000168,0,0,1,0,10.39999962,7.690000057,0,1.112010002,15,0,11.30744036
178,0,0,0,62.97999954,1,0,1,0,10.39999962,7.690000057,0,1.112010002,18,1,11.48955116
179,0,0,0,51.08000183,0,0,1,0,10.39999962,7.690000057,0,1.112010002,12,0,9.98476034
180,1,0,0,57.11999893,0,0,1,0,10.39999962,7.690000057,0,1.112010002,15,1,11.57333266
181,1,0,0,60.40999985,0,0,1,0,10.39999962,7.690000057,0,1.112010002,17,0,11.03481236
182,1,0,0,44.27999878,0,0,1,0,10.39999962,7.690000057,0,1.112010002,12,0,9.714932823
183,0,0,0,53.04999924,0,0,0,0,5.5,8.090000153,0.699999988,0.889150023,13,0,10.69000001
184,1,0,0,48.79999924,0,0,1,0,5.5,8.090000153,0.699999988,0.889150023,12,0,9.388848711
185,0,0,0,53.59000015,0,0,1,0,5.5,8.090000153,0.699999988,0.889150023,15,0,10.62786627
186,0,0,0,39.20999908,0,0,1,0,5.5,8.090000153,0.699999988,0.889150023,12,0,9.192420182
187,1,0,0,65.93000031,1,1,1,1,5.099999905,8.850000381,1.5,0.84987998,14,0,10.21937867
188,1,0,0,56.08000183,0,1,1,1,5.099999905,8.850000381,1.5,0.84987998,16,0,11.74674297
189,0,0,0,63.13000107,0,1,1,1,5.099999905,8.850000381,1.5,0.84987998,17,1,10.35698649
190,1,0,0,58.36999893,0,0,1,1,5.099999905,8.850000381,1.5,0.84987998,16,0,10.95627274
191,0,0,0,59.90999985,0,1,1,1,5.099999905,8.850000381,1.5,0.84987998,15,1,10.08107141
192,0,1,0,51.40000153,0,0,0,1,8,9.640000343,0.300000012,1.152420044,14,0,9.488128572
193,1,0,1,49.09000015,0,0,0,1,8,9.640000343,0.300000012,1.152420044,17,0,11.18879084
194,0,0,0,57.49000168,0,0,1,0,6.300000191,9.640000343,2,1.152420044,17,1,11.94429545
195,1,1,0,45.36000061,1,1,0,1,8,9.640000343,0.100000001,1.152420044,16,1,11.10244226
196,0,0,0,44.68999863,0,0,1,1,8,9.640000343,0.100000001,1.152420044,13,0,10.15455886
197,0,1,0,45.84000015,0,0,0,1,8,9.640000343,0,1.152420044,12,0,9.761495251
198,0,1,0,55.65999985,0,0,1,1,8,9.640000343,0,1.152420044,16,0,11.65731021
199,0,0,1,35.79999924,0,0,0,1,8,9.640000343,0,1.152420044,12,0,9.771059203
200,0,1,0,44.24000168,0,0,0,1,8,9.640000343,0,1.152420044,14,1,9.995539811
201,0,1,0,51.33000183,1,1,1,1,8,9.640000343,0,1.152420044,13,1,10.12112376
202,0,1,0,56.45999908,0,1,0,1,8,9.640000343,0.400000006,1.152420044,15,1,10.57210206
203,0,0,0,48.02999878,0,0,1,1,8,9.640000343,0.400000006,1.152420044,12,0,9.478838126
204,0,0,0,63.77000046,0,0,0,1,8,9.640000343,0,1.152420044,17,0,10.75232158
205,1,0,0,69.90000153,0,0,1,1,8,9.640000343,0,1.152420044,17,0,11.24036812
206,1,0,0,66.88999939,0,0,0,1,8,9.640000343,0,1.152420044,16,0,9.878012117
207,1,0,0,68.44000244,1,0,0,1,8,9.640000343,0,1.152420044,17,0,12.96545053
208,0,1,0,54.84999847,0,0,1,1,8,9.640000343,0,1.152420044,13,0,10.40835155
209,0,0,0,62.36000061,1,1,0,1,8,9.640000343,1.5,1.152420044,16,1,11.91763958
210,1,0,0,44.04000092,0,0,0,1,8,9.640000343,1.5,1.152420044,12,0,9.204669174
211,0,0,1,56.93000031,0,0,1,1,8,9.640000343,1.5,1.152420044,16,0,10.55699491
212,0,1,0,43.54000092,0,0,1,1,8,9.640000343,1.5,1.152420044,13,0,10.85622224
213,1,0,0,58.86999893,0,0,1,0,6,9.640000343,1.5,1.152420044,12,0,9.567194682
214,1,0,0,54.16999817,1,0,1,0,6,9.640000343,1.5,1.152420044,16,1,11.26573426
215,1,0,0,58.72999954,1,0,1,0,6,9.640000343,1.5,1.152420044,16,0,11.14148727
216,1,0,0,58.84000015,0,1,1,0,6,9.640000343,1.5,1.152420044,16,0,10.91228481
217,1,0,0,65.79000092,0,0,1,1,8,9.640000343,0.5,1.152420044,17,0,11.58720641
218,1,0,1,42.02999878,0,1,1,1,8,9.640000343,0.5,1.152420044,14,0,10.70287302
219,0,0,0,60.43000031,0,0,1,1,8,9.640000343,0.5,1.152420044,16,0,10.23198149
220,1,0,1,49.56999969,0,0,0,1,8,9.640000343,0.5,1.152420044,15,0,11.59412864
221,1,0,0,51.95999908,0,0,1,0,9.5,9.640000343,0.800000012,1.152420044,15,0,10.67749107
222,0,0,0,63.56999969,0,0,1,0,9.5,9.640000343,0.800000012,1.152420044,16,0,11.04168228
223,1,0,0,51.68999863,0,0,1,0,9.5,9.640000343,0.800000012,1.152420044,15,1,11.54602646
224,1,0,0,57.86999893,0,0,1,0,9.5,9.640000343,0.800000012,1.152420044,15,1,10.08006722
225,1,0,0,49.81000137,0,0,1,0,9.5,9.640000343,0.800000012,1.152420044,14,1,10.94905926
226,1,0,0,52.49000168,0,0,1,0,9.5,9.640000343,0.800000012,1.152420044,14,0,10.65866434
227,0,0,0,43.22000122,0,0,1,0,9.5,9.640000343,0.800000012,1.152420044,12,1,9.869268629
228,0,1,0,58.52999878,1,0,1,1,8,9.640000343,0.300000012,1.152420044,14,0,11.12011257
229,1,0,1,43.63000107,0,0,0,1,8,9.640000343,0.300000012,1.152420044,12,0,9.244327093
230,1,1,0,54.79000092,0,0,1,1,8,9.640000343,0.300000012,1.152420044,13,1,9.870548607
231,0,1,0,37.61000061,0,1,1,0,5.300000191,9.640000343,0.300000012,1.152420044,13,1,9.575350921
232,1,0,0,62.25,1,0,1,0,5.300000191,9.640000343,0.300000012,1.152420044,16,1,11.99171788
233,1,0,0,43.79999924,1,0,1,0,5.300000191,9.640000343,0.300000012,1.152420044,12,1,9.860626986
234,0,0,0,51.95999908,0,0,1,0,5.300000191,9.640000343,0.300000012,1.152420044,15,0,9.740256865
235,1,0,0,49.20999908,0,0,1,0,5.300000191,9.640000343,0.300000012,1.152420044,15,0,10.43315595
236,1,0,0,52.34000015,0,0,1,0,9.800000191,9.640000343,4.5,1.152420044,12,0,10.32172535
237,1,0,0,62.93999863,0,1,1,0,9.800000191,9.640000343,4.5,1.152420044,16,1,10.58903337
238,0,0,0,55.83000183,0,0,1,0,9.800000191,9.640000343,4.5,1.152420044,12,0,10.01299624
239,0,0,0,62.11999893,0,0,1,0,9.800000191,9.640000343,4.5,1.152420044,18,0,11.57671163
240,1,0,0,55.54000092,0,0,1,0,9.800000191,9.640000343,4.5,1.152420044,12,1,10.05113988
241,1,0,0,65.12000275,0,0,1,0,9.800000191,9.640000343,4.5,1.152420044,15,0,10.95614586
242,0,0,0,57.84999847,0,0,1,0,9.800000191,9.640000343,4.5,1.152420044,15,0,10.99901769
243,0,0,0,45.54000092,0,0,1,0,9.800000191,9.640000343,4.5,1.152420044,12,0,9.503469389
244,1,0,0,59.68000031,0,0,1,0,9.800000191,9.640000343,4.5,1.152420044,16,0,12.24213495
245,0,0,0,58.31999969,0,0,1,0,9.800000191,9.640000343,4.5,1.152420044,12,0,9.889853416
246,0,0,0,56.41999817,1,0,1,0,9.800000191,9.640000343,4.5,1.152420044,16,0,10.355781
247,0,0,0,62.20000076,1,0,1,0,9.800000191,9.640000343,4.5,1.152420044,16,1,10.99816405
248,0,1,0,57.06999969,0,0,1,0,9.800000191,9.640000343,4.5,1.152420044,15,0,10.92607983
249,1,0,0,52.86000061,0,0,1,0,9.800000191,9.640000343,4.5,1.152420044,15,0,9.794768716
250,1,0,0,66.86000061,1,1,1,0,6.300000191,9.640000343,1.200000048,1.152420044,17,1,10.89500134
251,1,0,0,44.59999847,0,0,1,0,10.69999981,9.640000343,0.5,1.152420044,12,0,9.894364921
252,1,0,0,56.93000031,1,1,1,0,10.69999981,9.640000343,0.5,1.152420044,15,1,9.924252395
253,1,0,0,54.11999893,0,0,1,0,10.69999981,9.640000343,0.5,1.152420044,12,0,9.220709612
254,0,0,0,48.75,0,0,1,0,10.69999981,9.640000343,0.5,1.152420044,12,0,9.091690458
255,0,0,0,58.15999985,0,0,1,0,10.69999981,9.640000343,0.5,1.152420044,16,0,11.13456014
256,1,0,0,40.90000153,0,0,1,0,10.69999981,9.640000343,0.5,1.152420044,12,0,9.299787813
257,0,0,0,60.95999908,0,0,1,0,10.69999981,9.640000343,0.5,1.152420044,17,1,12.20000481
258,0,0,0,65.70999908,0,1,1,0,10.69999981,9.640000343,0.5,1.152420044,15,0,11.42250296
259,1,0,0,53.72999954,0,0,1,0,10.69999981,9.640000343,0.5,1.152420044,16,0,10.65806808
260,1,0,0,57.52999878,0,0,1,0,10.69999981,9.640000343,0.5,1.152420044,16,0,13.17775882
261,0,0,0,63.11999893,1,1,1,0,10.69999981,9.640000343,0.5,1.152420044,16,1,10.72418696
262,0,0,0,51.16999817,0,0,1,0,5.300000191,9.640000343,1.200000048,1.152420044,12,0,9.529450795
263,0,0,0,61.45000076,0,0,1,0,5.300000191,9.640000343,1.200000048,1.152420044,13,0,10.37302242
